Hypocotyl: Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol Glands,Leaf: Nectaries,Leaf: Petiole Pigmentation,Leaf: Shape,Plant: Stem Hairiness,Plant: Stem Pigmentation,Plant: Height (cm),Plant: Growth Habit,Bract: Type,Flower: Time of Flowering (50% of plants with at least one open flower),Flower: Petal Colour,Flower: Petal Spot,Flower: Stigma,Flower: Anther Filament Colouration,Flower: Pollen Colour,Flower: Male Sterility (Only for A and B lines),Boll: Bearing Habit,Boll: Colour,Boll: Shape (Longitudinal Section),Boll: Surface,Boll: Prominence of Tip,Boll: Opening,Boll: Weight of Seed cotton/boll (grams),Seed: Fuzz,Seed: Fuzz Colour,Seed: Index (100 seed weight in grams),Ginning (%),Fibre: Colour,Fibre: Length (2.5% span length in mm),Fibre: Strength (G/Tex),Fibre: Fineness (micronaire value),Fibre: Uniformity (%),Group
Present,Light Green,Sparse,Flat,175,Present,Present,Palmate,Sparse,Absent,62,Semi Spreading,Normal,48,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Medium,Grey,7.5,40.3,White,23.3,20.3,3.3,51,Variety
Present,Light Green,Sparse,Flat,175,Present,Present,Palmate,Sparse,Absent,62,Semi Spreading,Normal,48,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,Medium,Grey,7.5,40.3,White,23.3,20.3,3.3,51,Variety
Present,Light Green,Sparse,Flat,175,Present,Present,Palmate,Sparse,Absent,62,Semi Spreading,Normal,48,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,Medium,Grey,7.5,40.3,White,23.3,20.3,3.3,51,Variety
Present,Light Green,Sparse,Flat,237,NA,Present,Palmate,Medium,Present,70,NA,Normal,49,Yellow,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.4,Medium,White,6,37.8,White,24.5,20.5,3.2,48,Variety
Present,Green,Sparse,Flat,194,NA,Present,Palmate,Sparse,Absent,60,NA,Normal,56,Cream,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.6,Sparse,Grey,6,39.9,White,22.8,20.2,3.5,51,Variety
Present,Light Green,Sparse,Flat,202,NA,Absent,Palmate,Medium,Absent,68,NA,Normal,44,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.6,Medium,White,8,34.6,Cream,23.3,17.2,3.6,48,Variety
Present,Light Green,Sparse,Flat,182,Present,Present,Palmate,Medium,Absent,55,NA,Normal,52,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.9,Medium,White,8,34.6,White,24.5,20.4,4,51,Variety
Present,Green,Sparse,Cup,158,NA,Present,Palmate,Medium,Absent,68,NA,Normal,50,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.7,Medium,White,8,41.9,White,23.3,19.7,3.7,51,Variety
Present,Light Green,Sparse,Flat,88,NA,Present,Palmate,Sparse,Absent,30,NA,Normal,45,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.6,Medium,Grey,7.5,34.9,White,23.5,19.2,3,51,Variety
Present,Green,Sparse,Flat,241,NA,Present (Faint),Palmate,Sparse,Absent,28,NA,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.8,Sparse,Grey,6,36.5,Cream,23.6,19.5,3.5,51,Variety
